name,contributors,language,stars,issues,forks,readme_length
freeCodeCamp,3155,JavaScript,297000,42,20915,5670
twbs,1060,JavaScript,131000,21,64021,5451
vuejs,260,JavaScript,128000,1,18203,2856
facebook,1281,JavaScript,122000,3,22169,3286
tensorflow,1835,C++,121000,0,72013,3731
EbookFoundation,1051,,117000,3,29507,1743
sindresorhus,352,,102000,5,13435,14549
getify,163,,96300,0,18739,2643
robbyrussell,1284,Shell,83300,0,16078,7448
d3,123,JavaScript,82400,0,20381,1506
ReactTraining,542,JavaScript,34800,2,7200,848
yarnpkg,478,JavaScript,34800,170,2077,1888
zeit,625,JavaScript,34700,49,3882,57468
impress,60,JavaScript,34500,9,6793,5761
antirez,292,C,34300,0,13102,19265
spring-projects,541,Java,34100,0,22818,9744
necolas,35,CSS,34000,0,6883,2114
rust-lang,2309,Rust,34000,0,5537,6448
storybooks,588,JavaScript,33900,8,2566,5106
x64dbg,66,C++,33600,0,919,2042
mui-org,1127,JavaScript,44400,3,9111,3047
ant-design,751,TypeScript,42400,31,14385,1875
expressjs,220,JavaScript,42400,2,7261,2359
vuejs,1398,,42300,1,5861,158590
h5bp,230,JavaScript,42200,1,9988,2591
danistefanovic,44,,42200,0,2760,17131
rails,3751,Ruby,42200,0,17018,3849
pallets,503,Python,41900,1,11936,1655
chartjs,292,JavaScript,41800,113,9333,1975
nvbn,120,Python,40900,2,2032,18263
ElemeFE,416,Vue,35000,1,6954,2206
wasabeef,41,,33500,0,8778,10344
shadowsocks,50,C#,33000,3,11584,3784
jquery,273,JavaScript,50900,11,17706,11079
laravel,488,PHP,49800,0,15307,2097
CyC2018,154,,49300,0,15191,1432
mrdoob,1037,JavaScript,48700,0,18295,1528
tensorflow,471,Python,48300,0,29503,1105
kubernetes,1999,Go,48200,51,16687,1661
atom,428,JavaScript,47800,0,11018,2762
rg3,658,Python,47200,0,8183,83632
webpack,505,JavaScript,47100,0,5935,11725
reduxjs,660,JavaScript,46900,0,11930,16216
ossu,85,,38400,0,5538,21489
elastic,1153,Java,38300,302,12866,7751
keras-team,773,Python,38200,10,14581,6621
josephmisiti,364,Python,38100,0,9408,90653
typicode,61,JavaScript,38100,1,3300,11847
ReactiveX,235,Java,37600,4,6397,25561
lodash,276,JavaScript,37300,0,3861,1583
kennethreitz,530,Python,37200,0,6780,2446
google,18,CSS,37100,0,7490,1481
bitcoin,606,C++,37100,21,22101,2852
ionic-team,292,HTML,37000,8,12886,1516
jekyll,842,Ruby,36800,0,8045,2313
mtdvio,60,,36600,0,3319,6076
nodejs,2,,35600,0,7839,436
adam-p,12,JavaScript,35500,0,6014,10276
netdata,230,C,35500,145,3062,24148
ansible,4162,Python,35400,0,14363,3118
Dogfalo,252,JavaScript,35100,0,4709,2140
nwjs,96,C++,35000,0,3793,4726
apple,660,C++,46600,0,7389,11792
GoogleChrome,193,JavaScript,45300,3,3953,13837
angular,844,TypeScript,45300,0,11780,433
socketio,155,JavaScript,45200,0,8357,5273
justjavac,97,JavaScript,45100,0,15067,9519
Microsoft,369,TypeScript,45100,564,6323,2614
hakimel,226,JavaScript,44700,0,12878,48105
trekhleb,76,JavaScript,44700,0,6030,10848
iluwatar,143,Java,44500,141,14416,1470
Semantic-Org,191,JavaScript,44500,0,4736,4182
airbnb,412,JavaScript,81700,0,15625,74668
github,1023,,79000,0,37809,6128
jwasham,127,,74200,0,21674,69245
facebook,1878,JavaScript,73900,46,16464,3323
kamranahmedse,19,,73200,0,11355,1562
electron,827,C++,70000,15,9094,2939
torvalds,∞,C,69300,0,24913,729
Microsoft,826,TypeScript,69200,266,9213,2303
facebook,613,JavaScript,63500,2,13966,6466
vinta,304,Python,61500,0,11933,57275
angular,1598,JavaScript,59400,0,28933,5248
FortAwesome,5,JavaScript,58800,0,9964,4009
nodejs,2403,JavaScript,58200,44,12872,16778
daneden,92,CSS,57400,0,12229,5962
donnemartin,64,Python,57100,28,8289,70094
axios,158,JavaScript,55000,2,4260,17849
flutter,329,Dart,53100,0,5626,3715
golang,1249,Go,53100,506,7293,1366
moby,1800,Go,52200,0,15093,3139
toddmotto,459,Python,50900,0,5154,44523
